"NombreMunicipio","CodigoMunicipio","Ubicación","NombreRegion","CodigoRegion","Anio","CausaMortalidad","TipoPoblacionObjetivo","NumeroPoblacionObjetivo","NumeroCasos"
"Entrerríos","05264","POINT (-75.517037 6.567385)","NORTE","5","2005","Suicidios","Poblacion total","8,983","0"
"Envigado","05266","POINT (-75.587333 6.16996)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","174,501","17"
"Fredonia","05282","POINT (-75.671749 5.927145)","SUROESTE","8","2005","Suicidios","Poblacion total","24,304","1"
"Frontino","05284","POINT (-76.128568 6.77975)","OCCIDENTE","6","2005","Suicidios","Poblacion total","22,850","1"
"Giraldo","05306","POINT (-75.953365 6.680421)","OCCIDENTE","6","2005","Suicidios","Poblacion total","4,892","0"
"Girardota","05308","POINT (-75.446101 6.377536)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","41,170","4"
"Gómez Plata","05310","POINT (-75.219375 6.681523)","NORTE","5","2005","Suicidios","Poblacion total","9,642","0"
"Granada","05313","POINT (-75.18443 6.14432)","ORIENTE","7","2005","Suicidios","Poblacion total","13,882","1"
"Guadalupe","05315","POINT (-75.240458 6.814987)","NORTE","5","2005","Suicidios","Poblacion total","6,568","1"
"Guarne","05318","POINT (-75.442619 6.279958)","ORIENTE","7","2005","Suicidios","Poblacion total","43,419","5"
"Guatapé","05321","POINT (-75.161723 6.234276)","ORIENTE","7","2005","Suicidios","Poblacion total","6,759","1"
"Heliconia","05347","POINT (-75.733349 6.207128)","OCCIDENTE","6","2005","Suicidios","Poblacion total","6,547","1"
"Hispania","05353","POINT (-75.907416 5.799621)","SUROESTE","8","2005","Suicidios","Poblacion total","5,315","0"
"Itagüí","05360","POINT (-75.609585 6.172619)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","221,921","9"
"Ituango","05361","POINT (-75.764081 7.172568)","NORTE","5","2005","Suicidios","Poblacion total","26,027","2"
"Jardín","05364","POINT (-75.819483 5.599097)","SUROESTE","8","2005","Suicidios","Poblacion total","13,726","1"
"Jericó","05368","POINT (-75.786118 5.791557)","SUROESTE","8","2005","Suicidios","Poblacion total","14,363","2"
"La Ceja","05376","POINT (-75.431681 6.030682)","ORIENTE","7","2005","Suicidios","Poblacion total","50,697","0"
"La Estrella","05380","POINT (-75.643382 6.157644)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","55,384","1"
"La Pintada","05390","POINT (-75.606525 5.747143)","SUROESTE","8","2005","Suicidios","Poblacion total","9,962","1"
"La Unión","05400","POINT (-75.361241 5.973832)","ORIENTE","7","2005","Suicidios","Poblacion total","18,610","0"
"Liborina","05411","POINT (-75.811313 6.67786)","OCCIDENTE","6","2005","Suicidios","Poblacion total","10,509","1"
"Maceo","05425","POINT (-74.673429 6.530691)","MAGDALENA MEDIO","3","2005","Suicidios","Poblacion total","8,688","2"
"Marinilla","05440","POINT (-75.334772 6.173718)","ORIENTE","7","2005","Suicidios","Poblacion total","52,242","0"
"Medellín","05001","POINT (-75.564739 6.253104)","VALLE DE ABURRA","1","2005","Suicidios","Poblacion total","2,046,341","131"
"Montebello","05467","POINT (-75.524621 5.945694)","SUROESTE","8","2005","Suicidios","Poblacion total","7,845","2"
"Murindó","05475","POINT (-76.82131 6.981328)","URABA","9","2005","Suicidios","Poblacion total","3,611","0"
"Mutatá","05480","POINT (-76.436928 7.245319)","URABA","9","2005","Suicidios","Poblacion total","12,175","1"
